CNES - Equipes de Saúde - Brasil
Quantidade por Município
Tipo da Equipe: 01 ESF - EQUIPE DE SAUDE DA FAMILIA, 24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I, 27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II, 30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III, 33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV, 70 ESF - EQUIPE DE SAUDE DA FAMILIA
Período:Jun/2010
"Município";"Quantidade"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";4
"110002 ARIQUEMES";10
"110003 CABIXI";1
"110004 CACOAL";-
"110005 CEREJEIRAS";3
"110006 COLORADO DO OESTE";2
"110007 CORUMBIARA";-
"110008 COSTA MARQUES";1
"110009 ESPIGAO D'OESTE";2
"110010 GUAJARA-MIRIM";3
"110011 JARU";9
"110012 JI-PARANA";9
"110013 MACHADINHO D'OESTE";5
"110014 NOVA BRASILANDIA D'OESTE";2
"110015 OURO PRETO DO OESTE";7
"110018 PIMENTA BUENO";-
"110020 PORTO VELHO";19
"110025 PRESIDENTE MEDICI";1
"110026 RIO CRESPO";-
"110028 ROLIM DE MOURA";6
"110029 SANTA LUZIA D'OESTE";1
"110030 VILHENA";3
"110032 SAO MIGUEL DO GUAPORE";-
"110033 NOVA MAMORE";1
"110034 ALVORADA D'OESTE";1
"110037 ALTO ALEGRE DOS PARECIS";1
"110040 ALTO PARAISO";2
"110045 BURITIS";-
"110050 NOVO HORIZONTE DO OESTE";1
"110060 CACAULANDIA";-
"110070 CAMPO NOVO DE RONDONIA";4
"110080 CANDEIAS DO JAMARI";-
"110090 CASTANHEIRAS";-
"110092 CHUPINGUAIA";1
"110094 CUJUBIM";1
"110100 GOVERNADOR JORGE TEIXEIRA";-
"110110 ITAPUA DO OESTE";-
"110120 MINISTRO ANDREAZZA";1
"110130 MIRANTE DA SERRA";1
"110140 MONTE NEGRO";5
"110143 NOVA UNIAO";1
"110145 PARECIS";-
"110146 PIMENTEIRAS DO OESTE";-
"110147 PRIMAVERA DE RONDONIA";1
"110148 SAO FELIPE D'OESTE";2
"110149 SAO FRANCISCO DO GUAPORE";-
"110150 SERINGUEIRAS";-
"110155 TEIXEIROPOLIS";-
"110160 THEOBROMA";5
"110170 URUPA";2
"110175 VALE DO ANARI";1
"110180 VALE DO PARAISO";2
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";1
"120005 ASSIS BRASIL";-
"120010 BRASILEIA";-
"120013 BUJARI";1
"120017 CAPIXABA";1
"120020 CRUZEIRO DO SUL";10
"120025 EPITACIOLANDIA";2
"120030 FEIJO";2
"120032 JORDAO";1
"120033 MANCIO LIMA";1
"120034 MANOEL URBANO";1
"120035 MARECHAL THAUMATURGO";1
"120038 PLACIDO DE CASTRO";1
"120039 PORTO WALTER";1
"120040 RIO BRANCO";13
"120042 RODRIGUES ALVES";1
"120043 SANTA ROSA DO PURUS";-
"120045 SENADOR GUIOMARD";-
"120050 SENA MADUREIRA";1
"120060 TARAUACA";3
"120070 XAPURI";-
"120080 PORTO ACRE";-
" MUNICIPIO IGNORADO - AM";-
"130002 ALVARAES";1
"130006 AMATURA";-
"130008 ANAMA";2
"130010 ANORI";1
"130014 APUI";-
"130020 ATALAIA DO NORTE";-
"130030 AUTAZES";3
"130040 BARCELOS";-
"130050 BARREIRINHA";2
"130060 BENJAMIN CONSTANT";2
"130063 BERURI";2
"130068 BOA VISTA DO RAMOS";1
"130070 BOCA DO ACRE";-
"130080 BORBA";2
"130083 CAAPIRANGA";1
"130090 CANUTAMA";2
"130100 CARAUARI";3
"130110 CAREIRO";5
"130115 CAREIRO DA VARZEA";-
"130120 COARI";-
"130130 CODAJAS";-
"130140 EIRUNEPE";3
"130150 ENVIRA";1
"130160 FONTE BOA";1
"130165 GUAJARA";1
"130170 HUMAITA";1
"130180 IPIXUNA";2
"130185 IRANDUBA";3
"130190 ITACOATIARA";4
"130195 ITAMARATI";2
"130200 ITAPIRANGA";2
"130210 JAPURA";-
"130220 JURUA";-
"130230 JUTAI";3
"130240 LABREA";2
"130250 MANACAPURU";9
"130255 MANAQUIRI";1
"130260 MANAUS";124
"130270 MANICORE";3
"130280 MARAA";-
"130290 MAUES";3
"130300 NHAMUNDA";-
"130310 NOVA OLINDA DO NORTE";5
"130320 NOVO AIRAO";1
"130330 NOVO ARIPUANA";1
"130340 PARINTINS";13
"130350 PAUINI";-
"130353 PRESIDENTE FIGUEIREDO";-
"130356 RIO PRETO DA EVA";-
"130360 SANTA ISABEL DO RIO NEGRO";-
"130370 SANTO ANTONIO DO ICA";-
"130380 SAO GABRIEL DA CACHOEIRA";-
"130390 SAO PAULO DE OLIVENCA";1
"130395 SAO SEBASTIAO DO UATUMA";1
"130400 SILVES";-
"130406 TABATINGA";-
"130410 TAPAUA";-
"130420 TEFE";6
"130423 TONANTINS";6
"130426 UARINI";3
"130430 URUCARA";-
"130440 URUCURITUBA";2
" MUNICIPIO IGNORADO - RR";-
"140002 AMAJARI";1
"140005 ALTO ALEGRE";-
"140010 BOA VISTA";36
"140015 BONFIM";1
"140017 CANTA";2
"140020 CARACARAI";-
"140023 CAROEBE";-
"140028 IRACEMA";-
"140030 MUCAJAI";-
"140040 NORMANDIA";-
"140045 PACARAIMA";-
"140047 RORAINOPOLIS";2
"140050 SAO JOAO DA BALIZA";-
"140060 SAO LUIZ";1
"140070 UIRAMUTA";-
" MUNICIPIO IGNORADO - PA";-
"150010 ABAETETUBA";7
"150013 ABEL FIGUEIREDO";-
"150020 ACARA";-
"150030 AFUA";-
"150034 AGUA AZUL DO NORTE";1
"150040 ALENQUER";-
"150050 ALMEIRIM";2
"150060 ALTAMIRA";2
"150070 ANAJAS";1
"150080 ANANINDEUA";65
"150085 ANAPU";-
"150090 AUGUSTO CORREA";5
"150095 AURORA DO PARA";1
"150100 AVEIRO";1
"150110 BAGRE";2
"150120 BAIAO";1
"150125 BANNACH";-
"150130 BARCARENA";10
"150140 BELEM";75
"150145 BELTERRA";-
"150150 BENEVIDES";7
"150157 BOM JESUS DO TOCANTINS";3
"150160 BONITO";3
"150170 BRAGANCA";5
"150172 BRASIL NOVO";-
"150175 BREJO GRANDE DO ARAGUAIA";-
"150178 BREU BRANCO";1
"150180 BREVES";3
"150190 BUJARU";2
"150195 CACHOEIRA DO PIRIA";3
"150200 CACHOEIRA DO ARARI";-
"150210 CAMETA";6
"150215 CANAA DOS CARAJAS";-
"150220 CAPANEMA";10
"150230 CAPITAO POCO";-
"150240 CASTANHAL";19
"150250 CHAVES";-
"150260 COLARES";1
"150270 CONCEICAO DO ARAGUAIA";1
"150275 CONCORDIA DO PARA";-
"150276 CUMARU DO NORTE";-
"150277 CURIONOPOLIS";4
"150280 CURRALINHO";1
"150285 CURUA";1
"150290 CURUCA";5
"150293 DOM ELISEU";-
"150295 ELDORADO DOS CARAJAS";2
"150300 FARO";-
"150304 FLORESTA DO ARAGUAIA";-
"150307 GARRAFAO DO NORTE";-
"150309 GOIANESIA DO PARA";-
"150310 GURUPA";-
"150320 IGARAPE-ACU";2
"150330 IGARAPE-MIRI";4
"150340 INHANGAPI";-
"150345 IPIXUNA DO PARA";5
"150350 IRITUIA";1
"150360 ITAITUBA";12
"150370 ITUPIRANGA";2
"150375 JACAREACANGA";-
"150380 JACUNDA";1
"150390 JURUTI";-
"150400 LIMOEIRO DO AJURU";-
"150405 MAE DO RIO";1
"150410 MAGALHAES BARATA";1
"150420 MARABA";1
"150430 MARACANA";5
"150440 MARAPANIM";-
"150442 MARITUBA";6
"150445 MEDICILANDIA";-
"150450 MELGACO";3
"150460 MOCAJUBA";2
"150470 MOJU";-
"150475 MOJUI DOS CAMPOS";-
"150480 MONTE ALEGRE";-
"150490 MUANA";-
"150495 NOVA ESPERANCA DO PIRIA";1
"150497 NOVA IPIXUNA";2
"150500 NOVA TIMBOTEUA";2
"150503 NOVO PROGRESSO";1
"150506 NOVO REPARTIMENTO";4
"150510 OBIDOS";2
"150520 OEIRAS DO PARA";1
"150530 ORIXIMINA";-
"150540 OUREM";2
"150543 OURILANDIA DO NORTE";2
"150548 PACAJA";2
"150549 PALESTINA DO PARA";1
"150550 PARAGOMINAS";2
"150553 PARAUAPEBAS";4
"150555 PAU D'ARCO";-
"150560 PEIXE-BOI";-
"150563 PICARRA";1
"150565 PLACAS";-
"150570 PONTA DE PEDRAS";1
"150580 PORTEL";2
"150590 PORTO DE MOZ";4
"150600 PRAINHA";-
"150610 PRIMAVERA";3
"150611 QUATIPURU";2
"150613 REDENCAO";4
"150616 RIO MARIA";-
"150618 RONDON DO PARA";1
"150619 RUROPOLIS";-
"150620 SALINOPOLIS";-
"150630 SALVATERRA";-
"150635 SANTA BARBARA DO PARA";-
"150640 SANTA CRUZ DO ARARI";-
"150650 SANTA IZABEL DO PARA";1
"150655 SANTA LUZIA DO PARA";4
"150658 SANTA MARIA DAS BARREIRAS";2
"150660 SANTA MARIA DO PARA";3
"150670 SANTANA DO ARAGUAIA";2
"150680 SANTAREM";18
"150690 SANTAREM NOVO";1
"150700 SANTO ANTONIO DO TAUA";1
"150710 SAO CAETANO DE ODIVELAS";1
"150715 SAO DOMINGOS DO ARAGUAIA";2
"150720 SAO DOMINGOS DO CAPIM";8
"150730 SAO FELIX DO XINGU";1
"150740 SAO FRANCISCO DO PARA";1
"150745 SAO GERALDO DO ARAGUAIA";3
"150746 SAO JOAO DA PONTA";2
"150747 SAO JOAO DE PIRABAS";-
"150750 SAO JOAO DO ARAGUAIA";2
"150760 SAO MIGUEL DO GUAMA";3
"150770 SAO SEBASTIAO DA BOA VISTA";-
"150775 SAPUCAIA";-
"150780 SENADOR JOSE PORFIRIO";1
"150790 SOURE";-
"150795 TAILANDIA";-
"150796 TERRA ALTA";-
"150797 TERRA SANTA";-
"150800 TOME-ACU";-
"150803 TRACUATEUA";2
"150805 TRAIRAO";-
"150808 TUCUMA";2
"150810 TUCURUI";9
"150812 ULIANOPOLIS";-
"150815 URUARA";3
"150820 VIGIA";3
"150830 VISEU";-
"150835 VITORIA DO XINGU";-
"150840 XINGUARA";-
" MUNICIPIO IGNORADO - AP";-
"160005 SERRA DO NAVIO";-
"160010 AMAPA";-
"160015 PEDRA BRANCA DO AMAPARI";-
"160020 CALCOENE";-
"160021 CUTIAS";-
"160023 FERREIRA GOMES";-
"160025 ITAUBAL";-
"160027 LARANJAL DO JARI";9
"160030 MACAPA";10
"160040 MAZAGAO";-
"160050 OIAPOQUE";2
"160053 PORTO GRANDE";1
"160055 PRACUUBA";-
"160060 SANTANA";16
"160070 TARTARUGALZINHO";-
"160080 VITORIA DO JARI";3
" MUNICIPIO IGNORADO - TO";-
"170025 ABREULANDIA";-
"170030 AGUIARNOPOLIS";-
"170035 ALIANCA DO TOCANTINS";-
"170040 ALMAS";-
"170070 ALVORADA";1
"170100 ANANAS";2
"170105 ANGICO";-
"170110 APARECIDA DO RIO NEGRO";-
"170130 ARAGOMINAS";-
"170190 ARAGUACEMA";1
"170200 ARAGUACU";1
"170210 ARAGUAINA";-
"170215 ARAGUANA";-
"170220 ARAGUATINS";3
"170230 ARAPOEMA";2
"170240 ARRAIAS";-
"170255 AUGUSTINOPOLIS";-
"170270 AURORA DO TOCANTINS";-
"170290 AXIXA DO TOCANTINS";2
"170300 BABACULANDIA";-
"170305 BANDEIRANTES DO TOCANTINS";-
"170307 BARRA DO OURO";1
"170310 BARROLANDIA";-
"170320 BERNARDO SAYAO";1
"170330 BOM JESUS DO TOCANTINS";-
"170360 BRASILANDIA DO TOCANTINS";-
"170370 BREJINHO DE NAZARE";-
"170380 BURITI DO TOCANTINS";1
"170382 CACHOEIRINHA";-
"170384 CAMPOS LINDOS";1
"170386 CARIRI DO TOCANTINS";-
"170388 CARMOLANDIA";-
"170389 CARRASCO BONITO";1
"170390 CASEARA";-
"170410 CENTENARIO";-
"170460 CHAPADA DE AREIA";-
"170510 CHAPADA DA NATIVIDADE";-
"170550 COLINAS DO TOCANTINS";-
"170555 COMBINADO";-
"170560 CONCEICAO DO TOCANTINS";1
"170600 COUTO MAGALHAES";1
"170610 CRISTALANDIA";1
"170625 CRIXAS DO TOCANTINS";-
"170650 DARCINOPOLIS";1
"170700 DIANOPOLIS";1
"170710 DIVINOPOLIS DO TOCANTINS";-
"170720 DOIS IRMAOS DO TOCANTINS";1
"170730 DUERE";-
"170740 ESPERANTINA";1
"170755 FATIMA";-
"170765 FIGUEIROPOLIS";-
"170770 FILADELFIA";-
"170820 FORMOSO DO ARAGUAIA";2
"170825 FORTALEZA DO TABOCAO";-
"170830 GOIANORTE";1
"170900 GOIATINS";1
"170930 GUARAI";-
"170950 GURUPI";2
"170980 IPUEIRAS";-
"171050 ITACAJA";-
"171070 ITAGUATINS";1
"171090 ITAPIRATINS";-
"171110 ITAPORA DO TOCANTINS";-
"171150 JAU DO TOCANTINS";-
"171180 JUARINA";-
"171190 LAGOA DA CONFUSAO";2
"171195 LAGOA DO TOCANTINS";-
"171200 LAJEADO";-
"171215 LAVANDEIRA";-
"171240 LIZARDA";-
"171245 LUZINOPOLIS";-
"171250 MARIANOPOLIS DO TOCANTINS";1
"171270 MATEIROS";-
"171280 MAURILANDIA DO TOCANTINS";-
"171320 MIRACEMA DO TOCANTINS";5
"171330 MIRANORTE";2
"171360 MONTE DO CARMO";-
"171370 MONTE SANTO DO TOCANTINS";-
"171380 PALMEIRAS DO TOCANTINS";-
"171395 MURICILANDIA";-
"171420 NATIVIDADE";1
"171430 NAZARE";-
"171488 NOVA OLINDA";1
"171500 NOVA ROSALANDIA";-
"171510 NOVO ACORDO";-
"171515 NOVO ALEGRE";-
"171525 NOVO JARDIM";-
