 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Peso ao nascer: 1000 a 1499 g
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";3
"110002 ARIQUEMES";10
"110003 CABIXI";-
"110004 CACOAL";10
"110005 CEREJEIRAS";-
"110006 COLORADO DO OESTE";1
"110007 CORUMBIARA";-
"110008 COSTA MARQUES";1
"110009 ESPIGAO D'OESTE";4
"110010 GUAJARA-MIRIM";4
"110011 JARU";7
"110012 JI-PARANA";8
"110013 MACHADINHO D'OESTE";1
"110014 NOVA BRASILANDIA D'OESTE";1
"110015 OURO PRETO DO OESTE";5
"110018 PIMENTA BUENO";6
"110020 PORTO VELHO";57
"110025 PRESIDENTE MEDICI";2
"110026 RIO CRESPO";-
"110028 ROLIM DE MOURA";4
"110029 SANTA LUZIA D'OESTE";2
"110030 VILHENA";11
"110032 SAO MIGUEL DO GUAPORE";2
"110033 NOVA MAMORE";1
"110034 ALVORADA D'OESTE";1
"110037 ALTO ALEGRE DOS PARECIS";2
"110040 ALTO PARAISO";3
"110045 BURITIS";-
"110050 NOVO HORIZONTE DO OESTE";-
"110060 CACAULANDIA";-
"110070 CAMPO NOVO DE RONDONIA";2
"110080 CANDEIAS DO JAMARI";7
"110090 CASTANHEIRAS";-
"110092 CHUPINGUAIA";-
"110094 CUJUBIM";1
"110100 GOVERNADOR JORGE TEIXEIRA";-
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";1
"110130 MIRANTE DA SERRA";1
"110140 MONTE NEGRO";-
"110143 NOVA UNIAO";-
"110145 PARECIS";-
"110146 PIMENTEIRAS DO OESTE";2
"110147 PRIMAVERA DE RONDONIA";-
"110148 SAO FELIPE D'OESTE";-
"110149 SAO FRANCISCO DO GUAPORE";1
"110150 SERINGUEIRAS";-
"110155 TEIXEIROPOLIS";-
"110160 THEOBROMA";1
"110170 URUPA";2
"110175 VALE DO ANARI";-
"110180 VALE DO PARAISO";1
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";1
"120005 ASSIS BRASIL";1
"120010 BRASILEIA";3
"120013 BUJARI";1
"120017 CAPIXABA";1
"120020 CRUZEIRO DO SUL";4
"120025 EPITACIOLANDIA";1
"120030 FEIJO";5
"120032 JORDAO";-
"120033 MANCIO LIMA";2
"120034 MANOEL URBANO";-
"120035 MARECHAL THAUMATURGO";1
"120038 PLACIDO DE CASTRO";-
"120039 PORTO WALTER";-
"120040 RIO BRANCO";47
"120042 RODRIGUES ALVES";1
"120043 SANTA ROSA DO PURUS";2
"120045 SENADOR GUIOMARD";2
"120050 SENA MADUREIRA";2
"120060 TARAUACA";4
"120070 XAPURI";1
"120080 PORTO ACRE";1
" MUNICIPIO IGNORADO - AM";-
"130002 ALVARAES";-
"130006 AMATURA";1
"130008 ANAMA";1
"130010 ANORI";-
"130014 APUI";-
"130020 ATALAIA DO NORTE";-
"130030 AUTAZES";3
"130040 BARCELOS";3
"130050 BARREIRINHA";1
"130060 BENJAMIN CONSTANT";3
"130063 BERURI";2
"130068 BOA VISTA DO RAMOS";2
"130070 BOCA DO ACRE";3
"130080 BORBA";3
"130083 CAAPIRANGA";1
"130090 CANUTAMA";1
"130100 CARAUARI";1
"130110 CAREIRO";-
"130115 CAREIRO DA VARZEA";3
"130120 COARI";7
"130130 CODAJAS";-
"130140 EIRUNEPE";8
"130150 ENVIRA";-
"130160 FONTE BOA";1
"130165 GUAJARA";-
"130170 HUMAITA";2
"130180 IPIXUNA";5
"130185 IRANDUBA";3
"130190 ITACOATIARA";12
"130195 ITAMARATI";-
"130200 ITAPIRANGA";-
"130210 JAPURA";-
"130220 JURUA";-
"130230 JUTAI";-
"130240 LABREA";2
"130250 MANACAPURU";4
"130255 MANAQUIRI";2
"130260 MANAUS";272
"130270 MANICORE";2
"130280 MARAA";-
"130290 MAUES";2
"130300 NHAMUNDA";2
"130310 NOVA OLINDA DO NORTE";3
"130320 NOVO AIRAO";4
"130330 NOVO ARIPUANA";-
"130340 PARINTINS";10
"130350 PAUINI";2
"130353 PRESIDENTE FIGUEIREDO";-
"130356 RIO PRETO DA EVA";2
"130360 SANTA ISABEL DO RIO NEGRO";-
"130370 SANTO ANTONIO DO ICA";3
"130380 SAO GABRIEL DA CACHOEIRA";1
"130390 SAO PAULO DE OLIVENCA";2
"130395 SAO SEBASTIAO DO UATUMA";-
"130400 SILVES";2
"130406 TABATINGA";5
"130410 TAPAUA";-
"130420 TEFE";3
"130423 TONANTINS";-
"130426 UARINI";1
"130430 URUCARA";1
"130440 URUCURITUBA";-
" MUNICIPIO IGNORADO - RR";-
"140002 AMAJARI";-
"140005 ALTO ALEGRE";1
"140010 BOA VISTA";53
"140015 BONFIM";2
"140017 CANTA";-
"140020 CARACARAI";3
"140023 CAROEBE";-
"140028 IRACEMA";2
"140030 MUCAJAI";-
"140040 NORMANDIA";-
"140045 PACARAIMA";3
"140047 RORAINOPOLIS";3
"140050 SAO JOAO DA BALIZA";4
"140060 SAO LUIZ";3
"140070 UIRAMUTA";-
" MUNICIPIO IGNORADO - PA";-
"150010 ABAETETUBA";16
"150013 ABEL FIGUEIREDO";-
"150020 ACARA";6
"150030 AFUA";6
"150034 AGUA AZUL DO NORTE";1
"150040 ALENQUER";3
"150050 ALMEIRIM";3
